Country,Capital City,Latitude,Longitude,Population,Capital Type
China,Арал,40.548,81.281,158593,Capital
Uzbekistan,Уркенч,41.55,60.6333,150000,Others
Kazakhstan,Жанаозень,43.3378,52.8553,147962,Capital
China,Алтай,47.8666,88.1166,142000,Capital
Uzbekistan,Алмалык,40.85,69.6,141894,Others
Uzbekistan,Термез,37.2167,67.2833,136200,Others
Uzbekistan,Навои,40.0844,65.3792,134100,Others
Kazakhstan,Атырау,47.1167,51.8833,130916,Capital
Kazakhstan,Талдыкорган,45.0167,78.3667,129960,Capital
Kazakhstan,Рудный,52.9667,63.1333,128200,Capital
Uzbekistan,Ангрен,41.0167,70.1436,126962,Others
Tajikistan,Куляб,37.9092,69.7819,106300,Others
Uzbekistan,Хива,41.3814,60.3611,105300,Others
Uzbekistan,Шахрисабз,39.05,66.8333,100300,Others
Uzbekistan,Чуст,40.9978,71.2403,100200,Others
Kazakhstan,Жезказган,47.7833,67.7,90661,Capital
Uzbekistan,Катаган,40.2,64.9167,86745,Others
Kyrgyzstan,Караколь,42.4903,78.3917,85588,Capital
China,Коргас,44.2125,80.4097,85000,Capital
Kazakhstan,Кентау,43.5167,68.5167,81484,Capital
Uzbekistan,Кунград,43.0758,58.9067,80090,Others
Uzbekistan,Денау,38.2667,67.9,78300,Others
Kazakhstan,Балхаш,46.8481,74.995,78002,Capital
China,Каргилик,37.885,77.4131,75730,Capital
Kazakhstan,Аксу,52.0333,76.9167,69354,Capital
Tajikistan,Истаравшан,39.9108,69.0064,65600,Others
China,Карган,38.1338,85.5333,65572,Capital
Kazakhstan,Капчагай,43.8833,77.0833,61677,Capital
Uzbekistan,Каттакурган,39.8989,66.2561,58950,Others
Tajikistan,Турсунзадэ,38.5108,68.2303,55700,Others
Uzbekistan,Гулистан,40.4833,68.7833,55600,Others
Uzbekistan,Зарашван,41.6081,64.2264,54300,Others
Kyrgyzstan,Токмок,42.8333,75.2833,53231,Capital
Tajikistan,Пенджикенд,39.5,67.6167,52500,Others
Tajikistan,Исфара,40.1167,70.6333,51700,Capital
